,,Week 4 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Thomas Jewett,Sam Houston,NMSt,NMSt,-,-,79,3.31,61,6.35,22.41,3.04,7.4,0.18,0.00,0.00,0.0,0.00
Jake Orlando,Buffalo,NIU,Buff,-,-,80,3.16,79,5.13,20.34,1.97,10.3,0.19,0.00,0.00,0.0,0.00
Trace Bruckler,New Mexico,Fres,Fres,-,-,81,3.11,87,4.85,16.89,1.74,9.7,0.24,0.00,0.00,0.0,0.00
Maliq Carr,Houston,Cin,Hou,-,-,82,3.10,82,5.00,17.85,1.90,9.4,0.22,0.00,0.00,0.0,0.00
Kyirin Heath,Southern Miss,JacSt,SouMis,-,-,83,3.10,81,5.03,19.35,1.94,10.0,0.19,0.00,0.00,0.0,0.00
Chris Carter,Northern Illinois,Buff,Buff,-,-,84,3.05,95,4.26,17.64,1.21,14.6,0.21,0.00,0.00,0.0,0.00
Hayden Hansen,Florida,MissSt,Fla,-,-,85,3.01,91,4.48,17.47,1.47,11.9,0.21,0.00,0.00,0.0,0.00
Ethan Davis,Tennessee,Okla,Tenn,-,-,86,2.97,94,4.28,15.85,1.31,12.1,0.23,0.00,0.00,0.0,0.00
Addison Ostrenga,Iowa,Minn,Iowa,-,-,87,2.87,89,4.65,18.97,1.78,10.7,0.16,0.00,0.00,0.0,0.00
Oscar Cardenas,UTSA,HouChr,HouChr,-,-,88,2.81,83,4.93,18.95,2.12,8.9,0.15,0.37,0.15,2.5,0.00
Vince Brown,Colorado State,UTEP,UTEP,-,-,89,2.80,85,4.90,18.98,2.10,9.0,0.15,0.00,0.00,0.0,0.00
Cole Spence,Vanderbilt,Missou,Vandy,-,-,90,2.77,90,4.61,21.87,1.84,11.9,0.10,0.00,0.00,0.0,0.00
Jake Roberts,Oklahoma,Tenn,Tenn,-,-,91,2.76,88,4.66,21.60,1.90,11.4,0.10,0.00,0.00,0.0,0.00
Jordan Dingle,Kentucky,Ohio,Ohio,-,-,92,2.75,99,3.95,21.50,1.20,17.9,0.10,0.00,0.00,0.0,0.00
Will Swanson,Kansas State,BYU,KanSt,-,-,93,2.71,101,3.76,14.42,1.05,13.7,0.21,0.00,0.00,0.0,0.00
Cade Conley,Marshall,OhioSt,Marsh,-,-,94,2.69,86,4.89,20.90,2.20,9.5,0.10,0.00,0.00,0.0,0.00
Landen King,Utah,OkSt,Utah,-,-,95,2.68,98,3.95,14.00,1.26,11.1,0.21,0.21,0.11,1.9,0.00
Andrew Savaiinaea,Nevada,EastWa,EastWa,-,-,96,2.64,92,4.37,16.89,1.74,9.7,0.16,0.00,0.00,0.0,0.00
Lake McRee,USC,Mich,USC,-,-,97,2.63,96,4.25,17.08,1.62,10.5,0.15,0.00,0.00,0.0,0.00
Trevor Stephens,New Mexico State,SamHou,NMSt,-,-,98,2.51,93,4.37,20.19,1.86,10.9,0.08,0.00,0.00,0.0,0.00
Gee Scott,Ohio State,Marsh,Marsh,-,-,99,2.50,100,3.83,15.00,1.33,11.3,0.17,0.00,0.00,0.0,0.00
Nate Jones,Louisiana Tech,Tulsa,Tulsa,-,-,100,2.36,84,4.93,22.76,2.58,8.8,0.00,0.80,0.27,3.0,0.00
Casey Kelly,East Carolina,Lib,ECU,-,-,101,2.26,97,3.99,17.84,1.74,10.3,0.08,0.00,0.00,0.0,0.00
Zach Horton,Indiana,Char,Char,-,-,102,2.14,103,3.39,13.17,1.24,10.6,0.14,0.00,0.00,0.0,0.00
Cooper Mathers,Washington State,SJSU,SJSU,-,-,103,2.12,102,3.63,17.03,1.52,11.2,0.07,0.00,0.00,0.0,0.00
Matt Lauter,Boise State,PorSt,PorSt,-,-,104,2.11,117,2.91,9.07,0.80,11.3,0.20,0.00,0.00,0.0,0.00
Andrew Rappleyea,Penn State,KentSt,KentSt,-,-,105,2.06,105,3.33,14.32,1.26,11.4,0.11,0.00,0.00,0.0,0.00
Marshall Lang,Northwestern,Wash,NW,-,-,106,2.00,104,3.36,14.55,1.36,10.7,0.09,0.00,0.00,0.0,0.00
Victor Konopka,Rutgers,VaTech,Rut,-,-,107,1.96,111,3.11,11.07,1.14,9.7,0.14,0.00,0.00,0.0,0.00
Dylan Wade,Maryland,Vill,Vill,-,-,108,1.95,113,3.02,10.23,1.08,9.5,0.15,0.00,0.00,0.0,0.00
Avery Boyd,Georgia Tech,Lou,GaTech,-,-,109,1.91,123,2.45,7.13,0.53,13.5,0.20,0.00,0.00,0.0,0.00
Sam Hart,Colorado,Baylor,Baylor,-,-,110,1.89,108,3.22,12.22,1.33,9.2,0.11,0.00,0.00,0.0,0.00
Jeremiah Franklin,Boston College,MSU,MSU,-,-,111,1.87,116,2.91,12.95,1.05,12.3,0.10,0.00,0.00,0.0,0.00
Rocky Beers,Florida International,Monm,Monm,-,-,112,1.81,106,3.29,13.63,1.48,9.2,0.07,0.00,0.00,0.0,0.00
George Burhenn,Purdue,OreSt,Purdue,-,-,113,1.73,114,2.97,13.17,1.24,10.6,0.07,0.00,0.00,0.0,0.00
Evan King,Buffalo,NIU,Buff,-,-,114,1.72,115,2.96,13.03,1.24,10.5,0.07,0.00,0.00,0.0,0.00
Quentin Moore,Washington,NW,NW,-,-,115,1.72,109,3.15,11.52,1.43,8.1,0.10,0.00,0.00,0.0,0.00
Tyler Foster,Oklahoma State,Utah,Utah,-,-,116,1.68,112,3.06,12.15,1.38,8.8,0.08,0.00,0.00,0.0,0.00
Blake Daniels,Eastern Michigan,StF-Pa,StF-Pa,-,-,117,1.65,118,2.69,11.68,1.04,11.2,0.08,0.00,0.00,0.0,0.00
Holden Staes,Tennessee,Okla,Tenn,-,-,118,1.65,124,2.27,7.31,0.62,11.8,0.15,0.00,0.00,0.0,0.00
Reese Clark,Temple,UtahSt,UtahSt,-,-,119,1.64,110,3.13,12.00,1.48,8.1,0.07,0.00,0.00,0.0,0.00
Weston Wolff,South Florida,Mia-Fl,Mia-Fl,-,-,120,1.61,107,3.27,16.08,1.67,9.6,0.00,0.00,0.00,0.0,0.00
Jace Henry,Nevada,EastWa,EastWa,-,-,121,1.51,119,2.66,10.86,1.14,9.5,0.07,0.00,0.00,0.0,0.00
Jaleel Skinner,Louisville,GaTech,GaTech,-,-,122,1.51,125,2.14,7.63,0.63,12.1,0.13,0.00,0.00,0.0,0.00
Marlin Klein,Michigan,USC,USC,-,-,123,1.47,121,2.61,8.95,1.14,7.9,0.10,0.00,0.00,0.0,0.00
Jameson Geers,Minnesota,Iowa,Iowa,-,-,124,1.44,122,2.54,10.28,1.10,9.3,0.07,0.00,0.00,0.0,0.00
Gunnar Helm,Texas,UL-Mon,UL-Mon,-,-,125,1.33,126,2.02,8.69,0.69,12.6,0.08,0.00,0.00,0.0,0.00
Jere Getzinger,Eastern Michigan,StF-Pa,StF-Pa,-,-,126,1.29,120,2.62,7.92,1.33,6.0,0.08,0.00,0.00,0.0,0.00
Brennan Parachek,Michigan State,BC,MSU,-,-,127,1.27,129,1.85,7.67,0.58,13.2,0.08,0.00,0.00,0.0,0.00
Sackett Wood,Virginia,CoastC,UVa,-,-,128,1.23,132,1.79,8.50,0.56,15.2,0.06,0.00,0.00,0.0,0.00
Carson Tabaracci,USC,Mich,USC,-,-,129,1.21,127,2.01,6.10,0.80,7.6,0.10,0.00,0.00,0.0,0.00
Ty Washington,Arkansas,Auburn,Ark,-,-,130,1.19,128,1.86,7.93,0.67,11.8,0.07,0.00,0.00,0.0,0.00
Tyler Neville,Virginia,CoastC,UVa,-,-,131,1.18,130,1.80,8.00,0.63,12.7,0.06,0.00,0.00,0.0,0.00
Stevo Klotz,Iowa State,ArkSt,ArkSt,-,-,132,1.15,131,1.79,6.09,0.64,9.5,0.09,0.00,0.00,0.0,0.00
Josh Kattus,Kentucky,Ohio,Ohio,-,-,133,1.10,137,1.57,7.47,0.47,15.9,0.06,0.00,0.00,0.0,0.00
Khamari Anderson,Kentucky,Ohio,Ohio,-,-,134,1.07,136,1.57,5.67,0.50,11.3,0.08,0.00,0.00,0.0,0.00
Bauer Sharp,Oklahoma,Tenn,Tenn,-,-,135,1.04,134,1.68,6.82,0.65,10.5,0.06,0.00,0.00,0.0,0.00
Thomas Gordon,Northwestern,Wash,NW,-,-,136,1.00,133,1.69,6.25,0.69,9.1,0.06,0.00,0.00,0.0,0.00
Trevor Kardell,Kansas,WVU,Kansas,-,-,137,0.98,135,1.58,5.80,0.60,9.7,0.07,0.00,0.00,0.0,0.00
Preston Daniel,Miami (OH),ND,Mia-O,-,-,138,0.91,138,1.51,3.10,0.60,5.2,0.10,0.00,0.00,0.0,0.00
Jack Pedersen,UCLA,LSU,UCLA,-,-,139,0.65,139,1.25,6.50,0.60,10.8,0.00,0.00,0.00,0.0,0.00
Juice Vereen,North Carolina State,Clem,NCSU,-,-,140,0.56,140,1.14,5.58,0.58,9.6,0.00,0.00,0.00,0.0,0.00
Tanner Arkin,Illinois,Neb,Ill,-,-,141,0.44,141,1.02,4.35,0.59,7.4,0.00,0.00,0.00,0.0,0.00
Sage Ennis,Virginia,CoastC,UVa,-,-,142,0.00,144,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00
Cole Rusk,Illinois,Neb,Ill,-,-,143,0.00,142,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00
Brett Seither,Georgia Tech,Lou,GaTech,-,-,144,0.00,143,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00
