,,Week 14 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,TD,INT,YPC,Yds,Att,Avg,TD
Bishop Davenport,South Alabama,TxSt,TxSt,-,-,246,0.36,247,0.36,7.25,0.00,0.00,11.5,0.75,0.25,3.0,0.00
Brendan Sullivan,Iowa,Neb,Neb,-,-,247,0.36,246,0.36,5.71,0.00,0.00,10.0,1.29,0.71,1.8,0.00
Tayven Jackson,Indiana,Purdue,Purdue,-,-,248,0.34,248,0.34,7.38,0.00,0.00,11.7,0.50,0.50,1.0,0.00
Chris Parson,Mississippi State,Miss,MissSt,-,-,249,0.34,249,0.34,7.86,0.00,0.00,13.8,0.29,0.57,0.5,0.00
Billy Wiles,Appalachian State,GaSo,App,-,-,250,0.34,250,0.34,7.13,0.00,0.00,14.3,0.50,0.50,1.0,0.00
Marcos Davila,Purdue,Ind,Purdue,-,-,251,0.33,251,0.33,6.13,0.00,0.00,12.3,0.88,0.50,1.8,0.00
Brayden Dorman,Arizona,AriSt,AriSt,-,-,252,0.32,253,0.32,7.11,0.00,0.00,12.7,0.33,0.67,0.5,0.00
Tommy Schuster,Michigan State,Rut,Rut,-,-,253,0.32,254,0.32,6.86,0.00,0.00,12.0,0.43,0.57,0.8,0.00
Ken Seals,TCU,Cin,TCU,-,-,254,0.32,255,0.32,7.00,0.00,0.00,12.5,0.44,0.56,0.8,0.00
Demond Williams,Washington,Oregon,Wash,-,-,255,0.32,252,0.32,7.63,0.00,0.00,10.2,0.13,0.25,0.5,0.00
Zane Flores,Oklahoma State,Colo,OkSt,-,-,256,0.30,257,0.30,7.00,0.00,0.00,11.7,0.20,0.20,1.0,0.00
Donovan Leary,Illinois,NW,Ill,-,-,257,0.30,259,0.30,6.50,0.00,0.00,10.3,0.38,0.38,1.0,0.00
Drake Lindsay,Minnesota,Wisc,Minn,-,-,258,0.30,258,0.30,6.17,0.00,0.00,12.3,0.50,0.67,0.7,0.00
Gaston Moore,Tennessee,Vandy,Tenn,-,-,259,0.30,256,0.30,6.25,0.00,0.00,12.5,0.50,0.38,1.3,0.00
Jackson Brousseau,Colorado State,UtahSt,UtahSt,-,-,260,0.29,260,0.29,6.90,0.00,0.00,11.5,0.10,0.30,0.3,0.00
Micah Alejado,Hawaii,NM,NM,-,-,261,0.28,261,0.28,6.60,0.00,0.00,11.0,0.20,0.20,1.0,0.00
Grant Gunnell,Sam Houston,Lib,Lib,-,-,262,0.28,264,0.28,6.00,0.00,0.00,10.7,0.44,0.89,0.5,0.00
Aidan Leffler,Ball State,Ohio,BallSt,-,-,263,0.28,263,0.28,7.00,0.00,0.00,12.3,0.00,0.00,0.0,0.00
Broc Lowry,Western Michigan,EastMi,EastMi,-,-,264,0.28,262,0.28,6.25,0.00,0.00,12.5,0.25,0.50,0.5,0.00
Jayden Clemons,Wyoming,WashSt,Wyo,-,-,265,0.27,265,0.27,5.75,0.00,0.00,11.5,0.38,0.38,1.0,0.00
Holden Geriner,Auburn,Ala,Auburn,-,-,266,0.26,266,0.26,7.33,0.00,0.00,10.9,-0.33,0.33,-1.0,0.00
Maddox Kopp,Miami (OH),BGSU,Mia-O,-,-,267,0.24,267,0.24,7.33,0.00,0.00,14.7,-0.50,0.50,-1.0,0.00
Landry Lyddy,UAB,Char,UAB,-,-,268,0.23,268,0.23,5.78,0.00,0.00,8.6,0.00,0.44,0.0,0.00
Ryan Staub,Colorado,OkSt,OkSt,-,-,269,0.18,269,0.18,6.67,0.00,0.00,10.0,-0.89,0.44,-2.0,0.00
Bryce Archie,South Florida,Rice,USF,-,-,270,0.17,271,0.17,4.13,0.00,0.00,8.3,0.00,0.63,0.0,0.00
Emory Williams,Miami,Syr,Mia-Fl,-,-,271,0.17,270,0.17,7.00,0.00,0.00,11.1,-1.13,0.38,-3.0,0.00
Haden Carlson,Florida International,MiddTn,MiddTn,-,-,272,0.04,272,0.04,9.25,0.00,0.00,14.7,-3.25,0.50,-6.5,0.00
Clay Millen,Florida,FlaSt,Fla,-,-,273,0.00,273,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00
