,,Week 9 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Att,Avg,TD,Yds,Rec,Avg,TD
Dominic Richardson,Baylor,OkSt,OkSt,-,-,94,9.69,81,11.68,52.22,12.00,4.4,0.33,14.90,1.99,7.5,0.17
Rodney Hammond,Pittsburgh,Syr,Syr,-,-,95,9.65,85,11.52,52.80,11.00,4.8,0.41,14.34,1.87,7.7,0.08
Floyd Chalk,San Jose State,Fres,SJSU,-,-,96,9.63,95,11.02,57.58,12.00,4.8,0.43,12.86,1.38,9.3,0.00
Cam Porter,Northwestern,Iowa,NW,-,-,97,9.61,99,10.91,57.67,15.00,3.8,0.43,7.41,1.29,5.7,0.09
Kentrel Bullock,South Alabama,UL-Mon,UL-Mon,-,-,98,9.60,100,10.88,53.20,10.00,5.3,0.48,9.20,1.28,7.2,0.08
Ky Thomas,Kent,WestMI,KentSt,-,-,99,9.60,104,10.62,58.46,13.00,4.5,0.42,6.97,1.02,6.8,0.08
Michael Benefield,Kennesaw State,Lib,Lib,-,-,100,9.55,119,10.03,63.38,12.00,5.3,0.48,3.14,0.48,6.5,0.00
CJ Donaldson,West Virginia,Ari,WVU,-,-,101,9.53,118,10.11,51.77,11.00,4.7,0.66,3.80,0.58,6.6,0.00
Justice Ellison,Indiana,Wash,Wash,-,-,102,9.51,82,11.67,53.96,12.00,4.5,0.35,15.28,2.16,7.1,0.09
Dylan Downing,Miami (OH),CentMi,CentMi,-,-,103,9.43,112,10.30,49.91,10.00,5.0,0.52,7.83,0.87,9.0,0.09
Leshon Williams,Iowa,NW,NW,-,-,104,9.42,108,10.40,67.22,14.00,4.8,0.25,7.29,0.98,7.4,0.08
Camryn Edwards,UConn,Rice,Rice,-,-,105,9.41,102,10.73,57.77,12.00,4.8,0.33,11.50,1.32,8.7,0.08
Peny Boone,Central Florida,BYU,BYU,-,-,106,9.40,115,10.19,52.12,8.00,6.5,0.55,8.63,0.79,10.9,0.00
Star Thomas,Duke,SMU,SMU,-,-,107,9.40,103,10.72,52.98,10.00,5.3,0.41,11.24,1.32,8.5,0.08
Delbert Mimms,Eastern Michigan,Akron,EastMi,-,-,108,9.28,107,10.50,39.49,9.00,4.4,0.65,9.57,1.22,7.8,0.08
Treshaun Ward,Boston College,Lou,Lou,-,-,109,9.24,101,10.84,50.17,10.00,5.0,0.34,12.02,1.60,7.5,0.17
Gabe Ervin,Nebraska,OhioSt,Neb,-,-,110,9.19,109,10.40,58.63,12.00,4.9,0.40,9.10,1.21,7.5,0.00
Henry Parrish,Mississippi,Okla,Okla,-,-,111,9.13,121,9.93,56.57,9.00,6.3,0.40,5.79,0.80,7.2,0.08
Tawee Walker,Wisconsin,PSU,PSU,-,-,112,9.12,111,10.31,50.57,11.00,4.6,0.55,7.44,1.19,6.3,0.00
Robert Henry,UTSA,Tulsa,Tx-SA,-,-,113,9.09,113,10.27,47.98,10.00,4.8,0.59,7.65,1.18,6.5,0.00
Lawrance Toafili,Florida State,Mia-Fl,FlaSt,-,-,114,9.06,94,11.08,41.07,7.00,5.9,0.42,19.14,2.02,9.5,0.08
Billy Lucas,Liberty,KennSt,Lib,-,-,115,9.04,129,9.37,53.14,10.00,5.3,0.50,2.56,0.33,7.8,0.08
Davon Booth,Mississippi State,Ark,Ark,-,-,116,9.03,120,9.99,54.96,10.00,5.5,0.48,6.56,0.96,6.8,0.00
CJ Beasley,Georgia State,App,GaSt,-,-,117,9.02,114,10.23,54.14,12.00,4.5,0.47,8.19,1.21,6.8,0.00
John Gentry,Sam Houston,FIU,SamHou,-,-,118,8.79,64,12.26,28.89,8.00,3.6,0.36,27.02,3.47,7.8,0.18
Kobe Pace,Virginia,UNC,UNC,-,-,119,8.76,110,10.32,49.38,13.00,3.8,0.25,13.74,1.55,8.9,0.16
Jamious Griffin,Oregon State,Cal,OreSt,-,-,120,8.74,116,10.15,47.93,10.00,4.8,0.41,9.75,1.40,7.0,0.08
Sean Dollars,Nevada,Hawaii,Nevada,-,-,121,8.67,123,9.70,45.51,12.00,3.8,0.51,5.23,1.03,5.1,0.09
DJ Jones,Wyoming,UtahSt,UtahSt,-,-,122,8.63,128,9.39,56.97,10.00,5.7,0.42,4.12,0.76,5.4,0.00
LJ Johnson Jr.,SMU,Duke,SMU,-,-,123,8.61,131,9.12,56.45,11.00,5.1,0.43,4.09,0.51,8.0,0.00
Dontae McMillan,Eastern Michigan,Akron,EastMi,-,-,124,8.30,124,9.57,38.55,9.00,4.3,0.51,8.75,1.27,6.9,0.08
Jordon Simmons,Akron,EastMi,EastMi,-,-,125,8.28,122,9.93,42.93,10.00,4.3,0.38,12.78,1.65,7.7,0.08
Anthony Tyus,Ohio,Buff,Buff,-,-,126,8.24,133,8.94,52.82,11.00,4.8,0.44,3.40,0.70,4.9,0.00
Anderson Castle,Appalachian State,GaSt,GaSt,-,-,127,8.18,134,8.85,52.58,10.00,5.3,0.42,4.25,0.67,6.3,0.00
Vaughn Pemberton,Ball State,NIU,NIU,-,-,128,8.17,143,8.60,45.79,8.00,5.7,0.43,5.28,0.43,12.3,0.09
Daniel Hishaw,Kansas,KanSt,Kansas,-,-,129,8.15,142,8.63,44.20,9.00,4.9,0.56,3.82,0.48,8.0,0.00
Zak Wallace,Arkansas State,Troy,Troy,-,-,130,8.08,145,8.50,48.35,11.00,4.4,0.51,1.71,0.43,4.0,0.00
Rayshon Luke,Arizona,WVU,WVU,-,-,131,8.05,127,9.44,38.08,9.00,4.2,0.46,14.77,1.38,10.7,0.00
Dylan Edwards,Kansas State,Kansas,Kansas,-,-,132,7.98,126,9.47,36.78,8.00,4.6,0.33,13.36,1.48,9.0,0.16
Dallan Hayden,Colorado,Cin,Cin,-,-,133,7.98,117,10.14,46.19,10.00,4.6,0.41,2.68,2.16,1.2,0.10
Robert Briggs,Utah State,Wyo,UtahSt,-,-,134,7.95,140,8.65,56.05,11.00,5.1,0.35,2.53,0.70,3.6,0.00
Gerald Green,Troy,ArkSt,Troy,-,-,135,7.89,132,9.12,40.41,9.00,4.5,0.44,6.71,1.24,5.4,0.09
