,,,Week 1 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
175,Dalton Keene,HOU,IND,HOU,-2.0,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,Austin Stogner,ATL,PIT,ATL,-3.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
177,Ko Kieft,TB,WAS,TB,-3.0,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178,Tommy Sweeney,CHI,TEN,CHI,-4.5,43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179,Zack Kuntz,NYJ,SF,SF,4,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
180,Tanner Taula,TB,WAS,TB,-3.0,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181,Marcedes Lewis,CHI,TEN,CHI,-4.5,43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182,Logan Thomas,SF,NYJ,SF,-4.0,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
183,Hunter Long,LAR,DET,DET,3.5,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
184,Jake Tonges,SF,NYJ,SF,-4.0,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
185,Tyler Mabry,SEA,DEN,SEA,-5.0,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
186,Travis Vokolek,ARI,BUF,BUF,6,48.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
187,Chris Manhertz,NYG,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,Treyton Welch,CLE,DAL,CLE,-2.0,43.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
189,David Martin-Robinson,TEN,CHI,CHI,4.5,43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190,Jack Westover,SEA,DEN,SEA,-5.0,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
191,Brayden Willis,SF,NYJ,SF,-4.0,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
192,Rodney Williams,PIT,ATL,ATL,3,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
193,Nate Adkins,DEN,SEA,SEA,5,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
194,Joel Wilson,GB,PHI,PHI,2,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
195,Brenden Bates,CHI,TEN,CHI,-4.5,43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
196,Thomas Yassmin,DEN,SEA,SEA,5,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
197,Luke Benson,LAC,LV,LAC,-3.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
198,Shane Zylstra,DET,LAR,DET,-3.5,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
199,Shawn Bowman,JAX,MIA,MIA,3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
